,Name,Smiles
0,Venetoclax,Clc1ccc(cc1)C=1CC(CCC=1CN1CCN(CC1)c1cc(Oc2cc3cc[nH]c3nc2)c(cc1)C(=O)NS(=O)(=O)c1cc([N+](=O)[O-])c(NCC2CCOCC2)cc1)(C)C
1,Grazoprevir,S(=O)(=O)(N=C(O)[C@@]1(N=C(O)[C@H]2N3C[C@H](Oc4nc5cc(OC)ccc5nc4CCCCC[C@H]4[C@H](OC(O)=N[C@@H](C(C)(C)C)C3=O)C4)C2)C[C@H]1C=C)C1CC1
2,Elbasvir,O1c2cc(ccc2-c2n(c3c(cc(cc3)-c3nc([nH]c3)[C@H]3N(CCC3)C(=O)[C@@H](NC(OC)=O)C(C)C)c2)[C@@H]1c1ccccc1)-c1nc([nH]c1)[C@H]1N(CCC1)C(=O)[C@@H](NC(OC)=O)C(C)C
3,Lesinurad,Brc1nnc(SCC(O)=O)n1-c1c2c(cccc2)c(cc1)C1CC1
4,Cefroxadine,S1[C@H]2N(C(C(O)=O)=C(OC)C1)C(=O)[C@H]2NC(=O)[C@H](N)C=1CC=CCC=1
5,Pidotimod,S1C[C@H](N(C1)C(=O)[C@H]1NC(=O)CC1)C(O)=O
6,Alectinib,O1CCN(CC1)C1CCN(CC1)c1cc2c(cc1CC)C(=O)c1c([nH]c3cc(ccc13)C#N)C2(C)C
7,Selexipag,S(=O)(=O)(NC(=O)COCCCCN(C(C)C)c1nc(c(nc1)-c1ccccc1)-c1ccccc1)C
8,Pyroglutamate,O=C1NC(CC1)C(O)=O
9,Ixazomib,Clc1ccc(Cl)cc1C(O)=NCC(O)=N[C@@H](CC(C)C)B(O)O
10,Hydroquinone,Oc1ccc(O)cc1
11,Avobenzone,O(C)c1ccc(cc1)C(=O)CC(=O)c1ccc(cc1)C(C)(C)C
12,Acrivastine,OC(=O)\C=C\c1nc(ccc1)/C(=C/CN1CCCC1)/c1ccc(cc1)C
13,Dipotassium phosphate,[K+].[K+].P(O)(=O)([O-])[O-]
14,Monopotassium phosphate,[K+].P(O)(O)(=O)[O-]
15,Levobetaxolol,O(C[C@@H](O)CNC(C)C)c1ccc(cc1)CCOCC1CC1
16,Piperonyl butoxide,O1c2cc(CCC)c(cc2OC1)COCCOCCOCCCC
17,beta-Propiolactone,O1CCC1=O
18,Acetrizoic acid,Ic1c(C(O)=O)c(I)cc(I)c1NC(=O)C
19,Metrizoic acid,Ic1c(C(O)=O)c(I)c(NC(=O)C)c(I)c1N(C(=O)C)C
20,Pramocaine,O1CCN(CC1)CCCOc1ccc(OCCCC)cc1
21,Tipiracil,ClC=1C(=O)NC(=O)NC=1CN1CCCC1=N
22,Propoxycaine,O(CCC)c1cc(N)ccc1C(OCCN(CC)CC)=O
23,Glucose,O1[C@H](CO)[C@@H](O)[C@H](O)[C@@H](O)C1O
24,Tyropanoic acid,Ic1c(CC(CC)C(O)=O)c(I)cc(I)c1NC(=O)CCC
25,Mersalyl,[Hg](O)CC(OC)CNC(=O)c1ccccc1OCC(O)=O
26,Ipodate,Ic1c(CCC(O)=O)c(I)cc(I)c1\N=C\N(C)C
27,Kappadione,P(Oc1c2c(cccc2)c(OP(=O)([O-])[O-])cc1C)(=O)([O-])[O-].[Na+].[Na+].[Na+].[Na+]
28,Osimertinib,O(C)c1cc(N(CCN(C)C)C)c(NC(=O)C=C)cc1Nc1nc(ccn1)-c1c2c(n(c1)C)cccc2
29,Tegafur-uracil,FC1=CN(C2OCCC2)C(=O)NC1=O.O=C1NC(=O)NC=C1
30,Ammonia N-13,N
31,Sodium fluoride,[Na+].[F-]
32,Sulbactam,S1(=O)(=O)[C@H]2N([C@@H](C(O)=O)C1(C)C)C(=O)C2
33,Benzathine benzylpenicillin,S1[C@H]2N([C@@H](C(=O)[O-])C1(C)C)C(=O)[C@H]2NC(=O)Cc1ccccc1.S1[C@H]2N([C@@H](C(=O)[O-])C1(C)C)C(=O)[C@H]2NC(=O)Cc1ccccc1.[NH2+](Cc1ccccc1)CC[NH2+]Cc1ccccc1
34,Zinc sulfate,[Zn+2].S(=O)(=O)([O-])[O-]
35,Procaine benzylpenicillin,S1[C@H]2N([C@@H](C(O)=O)C1(C)C)C(=O)[C@H]2NC(=O)Cc1ccccc1.O(C(=O)c1ccc(N)cc1)CCN(CC)CC
36,Thallous Chloride,[Tl+].[Cl-]
37,Technetium Tc-99m sodium pertechnetate,[Tc-3]([OH2+])([OH2+])([OH2+])[O-].[Na+]
38,Ioxaglic acid,Ic1c(C(=O)NCC(=O)Nc2c(I)c(C(=O)NCCO)c(I)c(C(O)=O)c2I)c(I)c(N(C(=O)C)C)c(I)c1C(=O)NC
39,Setiptiline,N1(CC2=C(CC1)c1c(Cc3c2cccc3)cccc1)C
40,Scopolamine butylbromide,[Br-].O1[C@H]2[C@H]3[N+]([C@@H]([C@@H]12)CC(OC(=O)[C@H](CO)c1ccccc1)C3)(CCCC)C
41,Tenofovir alafenamide,P(Oc1ccccc1)(=O)(N[C@H](C(OC(C)C)=O)C)CO[C@@H](Cn1c2ncnc(N)c2nc1)C
42,Paritaprevir,S(=O)(=O)(NC(=O)[C@]12NC(=O)[C@H]3N(C[C@H](Oc4nc5c(c6c4cccc6)cccc5)C3)C(=O)[C@@H](NC(=O)c3ncc(nc3)C)CCCCC\C=C/[C@H]1C2)C1CC1
43,Ombitasvir,O(C(=O)N[C@@H](C(C)C)C(=O)N1CCC[C@H]1C(=O)Nc1ccc(cc1)[C@H]1N([C@@H](CC1)c1ccc(NC(=O)[C@H]2N(CCC2)C(=O)[C@@H](NC(OC)=O)C(C)C)cc1)c1ccc(cc1)C(C)(C)C)C
44,Talniflumate,FC(F)(F)c1cc(Nc2ncccc2C(OC2OC(=O)c3c2cccc3)=O)ccc1
45,Sodium lactate,[Na+].OC(C(=O)[O-])C
46,Sodium Iodide I-131,I[Na]
47,Sacubitril,O(CC)C(=O)[C@@H](C[C@H](NC(=O)CCC(O)=O)Cc1ccc(cc1)-c1ccccc1)C
48,Rolapitant,FC(F)(F)c1cc(cc(c1)[C@H](OC[C@@]1(NC[C@]2(NC(=O)CC2)CC1)c1ccccc1)C)C(F)(F)F
49,Ramosetron,O=C([C@@H]1CCc2[nH]cnc2C1)c1c2c(n(c1)C)cccc2
50,Tianeptine,Clc1cc2S(=O)(=O)N(c3c(cccc3)C(NCCCCCCC(O)=O)c2cc1)C
51,Propacetamol,O(C(=O)CN(CC)CC)c1ccc(NC(=O)C)cc1
52,Pipamperone,Fc1ccc(cc1)C(=O)CCCN1CCC(N2CCCCC2)(CC1)C(=O)N
53,Morniflumate,FC(F)(F)c1cc(Nc2ncccc2C(OCCN2CCOCC2)=O)ccc1
54,Imolamine,O1N=C(N(CCN(CC)CC)C1=N)c1ccccc1
55,Trapidil,n12ncnc1N=C(C=C2N(CC)CC)C
56,Molsidomine,o1n[n+](N2CCOCC2)cc1[N-]C(OCC)=O
57,Magnesium Trisilicate,[Si](O[Si](=O)[O-])(O[Si](=O)[O-])([O-])[O-].[Mg+2].[Mg+2]
58,Fimasartan,S=C(N(C)C)CC=1C(=O)N(Cc2ccc(cc2)-c2ccccc2-c2[nH]nnn2)C(=NC=1C)CCCC
59,Choline C 11,[Cl-].OCC[N+](C)(C)C
60,Sodium aurothiomalate,[Au]SC(CC(O)=O)C(=O)[O-].[Na+]
61,Artesunate,O1[C@H]2O[C@H](OC(=O)CCC(O)=O)[C@@H]([C@H]3[C@@]24OOC1(CC[C@H]4[C@@H](CC3)C)C)C
62,Doxofylline,O1CCOC1Cn1c2c(nc1)N(C)C(=O)N(C)C2=O
63,Eluxadoline,O(C)c1ccc(cc1C(O)=O)CN([C@@H](C)c1[nH]cc(n1)-c1ccccc1)C(=O)[C@@H](N)Cc1c(cc(cc1C)C(=O)N)C
64,Phenylacetic acid,OC(=O)Cc1ccccc1
65,Sodium picosulfate,S(Oc1ccc(cc1)C(c1ccc(OS(=O)(=O)[O-])cc1)c1ncccc1)(=O)(=O)[O-].[Na+].[Na+]
66,Strontium ranelate,[Sr+2].[Sr+2].s1c(C(=O)[O-])c(CC(=O)[O-])c(C#N)c1N(CC(=O)[O-])CC(=O)[O-]
67,Lixisenatide,S(CC[C@H](NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)CNC(=O)[C@@H](NC(=O)CNC(=O)[C@@H](N)Cc1nc[nH]c1)CCC(O)=O)[C@H](O)C)Cc1ccccc1)[C@H](O)C)CO)CC(O)=O)CC(C)C)CO)CCCCN)CCC(=O)N)C(=O)N[C@@H](CCC(O)=O)C(=O)N[C@@H](CCC(O)=O)C(=O)N[C@@H](CCC(O)=O)C(=O)N[C@H](C(=O)N[C@@H](C(C)C)C(=O)N[C@@H](CCCNC(N)=N)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@@H]([C@H](CC)C)C(=O)N[C@@H](CCC(O)=O)C(=O)N[C@@H](Cc1c2c([nH]c1)cccc2)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CC(=O)N)C(=O)NCC(=O)NCC(=O)N1CCC[C@H]1C(=O)N[C@H](C(=O)N[C@H](C(=O)NCC(=O)N[C@H](C(=O)N1CCC[C@H]1C(=O)N1CCC[C@H]1C(=O)N[C@H](C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CCCCN)C(=O)N)CO)C)CO)CO)C)C
68,Imidafenacin,O=C(N)C(CCn1ccnc1C)(c1ccccc1)c1ccccc1
69,Gimeracil,ClC1=CNC(=O)C=C1O
70,Tegafur,FC1=CN(C2OCCC2)C(=O)NC1=O
71,Toloxatone,O1C(CN(c2cc(ccc2)C)C1=O)CO
72,Pirlindole,n12c3C(NCC1)CCCc3c1cc(ccc12)C
73,Hydracarbazine,O=C(N)c1nnc(NN)cc1
74,Moxonidine,Clc1nc(nc(OC)c1NC=1NCCN=1)C
75,Levamlodipine,Clc1ccccc1[C@@H]1C(C(OCC)=O)=C(NC(C)=C1C(OC)=O)COCCN
76,Lacidipine,O(C(=O)C=1C(C(C(OCC)=O)=C(NC=1C)C)c1ccccc1\C=C\C(OC(C)(C)C)=O)CC
77,Efonidipine,P1(OCC(CO1)(C)C)(=O)C=1C(C(C(OCCN(Cc2ccccc2)c2ccccc2)=O)=C(NC=1C)C)c1cc([N+](=O)[O-])ccc1
78,Cilnidipine,O(C(=O)C=1C(C(C(OC\C=C\c2ccccc2)=O)=C(NC=1C)C)c1cc([N+](=O)[O-])ccc1)CCOC
79,Benidipine,O(C(=O)C=1[C@@H](C(C(OC)=O)=C(NC=1C)C)c1cc([N+](=O)[O-])ccc1)[C@@H]1CCCN(C1)Cc1ccccc1
80,Azelnidipine,O(C(=O)C=1C(C(C(OC(C)C)=O)=C(NC=1N)C)c1cc([N+](=O)[O-])ccc1)C1CN(C1)C(c1ccccc1)c1ccccc1
81,Aranidipine,O(C(=O)C=1C(C(C(OC)=O)=C(NC=1C)C)c1ccccc1[N+](=O)[O-])CC(=O)C
82,Barnidipine,O(C(=O)C=1[C@H](C(C(OC)=O)=C(NC=1C)C)c1cc([N+](=O)[O-])ccc1)[C@H]1CCN(C1)Cc1ccccc1
83,Zotepine,Clc1cc2c(Sc3c(C=C2OCCN(C)C)cccc3)cc1
84,Melperone,Fc1ccc(cc1)C(=O)CCCN1CCC(CC1)C
85,Blonanserin,Fc1ccc(cc1)-c1cc(nc2c1CCCCCC2)N1CCN(CC1)CC
86,Polaprezinc,[Zn+2].O=C([N-][C@H](Cc1[nH]cnc1)C(=O)[O-])CCN
87,Nicorandil,O([N+](=O)[O-])CCNC(=O)c1cccnc1
88,Bisoxatin,O1c2c(NC(=O)C1(c1ccc(O)cc1)c1ccc(O)cc1)cccc2
89,Clonixin,Clc1cccc(Nc2ncccc2C(O)=O)c1C
90,Tolfenamic Acid,Clc1cccc(Nc2ccccc2C(O)=O)c1C
91,Droxicam,S1(=O)(=O)N(C2=C(OC(=O)N(C2=O)c2ncccc2)c2c1cccc2)C
92,Dexketoprofen,OC(=O)[C@@H](C)c1cc(ccc1)C(=O)c1ccccc1
93,Dexibuprofen,OC(=O)[C@@H](C)c1ccc(cc1)CC(C)C
94,Loxoprofen,O=C1CCCC1Cc1ccc(cc1)C(C(O)=O)C
95,Limaprost,O=C1C[C@@H](O)[C@H](\C=C\[C@@H](O)C[C@H](CCCC)C)[C@H]1CCCC\C=C\C(O)=O
96,Piracetam,O=C1N(CCC1)CC(O)=N
97,Pholcodine,O1CCN(CC1)CCOc1c2O[C@@H]3[C@]45[C@H]([C@H](N(CC4)C)Cc(c25)cc1)C=C[C@@H]3O
98,Moxisylyte,O(C(=O)C)c1cc(C(C)C)c(OCCN(C)C)cc1C
99,Arotinolol,s1c(ccc1C(=O)N)-c1nc(sc1)SCC(O)CNC(C)(C)C
100,Lobeglitazone,S1C(Cc2ccc(OCCN(C)c3ncnc(Oc4ccc(OC)cc4)c3)cc2)C(=O)NC1=O
101,Mepiprazole,Clc1cc(N2CCN(CC2)CCc2n[nH]c(c2)C)ccc1
102,Lorpiprazole,FC(F)(F)c1cc(N2CCN(CC2)CCc2n3C[C@H]4[C@H](CCC4)c3nn2)ccc1
103,Etoperidone,Clc1cc(N2CCN(CC2)CCCN2N=C(N(CC)C2=O)CC)ccc1
104,Viloxazine,O1CCNCC1COc1ccccc1OCC
