SMILES,No.,Smiles,activity10,activity20,activity40,activity60,activity80,activity100
O=C(c1ccncc1)N1CCC2(CCN(Cc3ccccc3OCC(F)(F)C(F)F)CC2)CC1,A1008,FC(C(COc1ccccc1CN1CCC2(CC1)CCN(CC2)C(=O)c1ccncc1)(F)F)F,1.0,1.0,1.0,1.0,1.0,1.0
CNCc1ccc(C(F)(F)F)cc1Oc1ccc(Cl)cc1,A1009,CNCc1ccc(cc1Oc1ccc(cc1)Cl)C(F)(F)F,1.0,1.0,1.0,1.0,1.0,1.0
N#Cc1ccc2nc(C3CCC4(CC3)CN(c3ccccc3)C(=O)O4)[nH]c2c1,A101,N#Cc1ccc2c(c1)[nH]c(n2)C1CCC2(CC1)OC(=O)N(C2)c1ccccc1,1.0,1.0,1.0,1.0,1.0,1.0
Cc1ccc2c(c1)CC(CCN(C)C)=C2C(C)c1cnccn1,A1010,c1cc(C)cc(c12)CC(CCN(C)C)=C2[C@@H](C)c3nccnc3,1.0,1.0,1.0,1.0,1.0,1.0
Cc1nc(C)c(-c2ccc3cc(CCN4CCCC4C)ccc3n2)s1,A1011,C1CC[C@@H](C)N1CCc(cc2)cc(c23)ccc(n3)-c4c(C)nc(s4)C,1.0,1.0,1.0,1.0,1.0,1.0
Cc1nc(N2CCOCC2)sc1-c1ccc2cc(CCN3CCCC3C)ccc2n1,A1012,C1CC[C@@H](C)N1CCc(cc2)cc(c23)ccc(n3)-c4c(C)nc(s4)N5CCOCC5,1.0,1.0,1.0,1.0,1.0,1.0
Cc1ccc2c(N3CCN(CCc4cccc5c4ccc(=O)n5C)C(C)C3)cccc2n1,A1033,c1cc(C)nc(c12)cccc2N(C[C@@H]3C)CCN3CCc(ccc4)c(c45)ccc(=O)n5C,1.0,1.0,1.0,1.0,1.0,1.0
Cc1ccc2c(N3CCN(CCCc4cccc5c4OCC(=O)N5C)CC3)cccc2n1,A1036,c1cc(C)nc(c12)cccc2N(CC3)CCN3CCCc(ccc4)c(c45)OCC(=O)N5C,1.0,1.0,1.0,1.0,1.0,1.0
Cc1ccc2c(-c3nnc(SCCCCN4CCc5cc6nc(C)oc6c(Br)c5CC4)n3C)cccc2n1,A1041,Cc6ccc5c(c4nnc(SCCCCN3CCc2cc1nc(C)oc1c(Br)c2CC3)n4C)cccc5n6,1.0,1.0,1.0,1.0,1.0,1.0
CCc1nc2cc3c(cc2o1)CCN(CCCSc1nnc(-c2cccc4nc(C)ccc24)n1C)CC3,A1045,CCc6nc5cc4CCN(CCCSc3nnc(c1cccc2nc(C)ccc12)n3C)CCc4cc5o6,1.0,1.0,1.0,1.0,1.0,1.0
